Importance,Level,Job Zone,Code,Occupation
72,57,2,27-2011.00,Actors
63,57,4,27-2042.00,Musicians and Singers
53,48,5,21-2011.00,Clergy
53,46,5,19-1029.01,Bioinformatics Scientists
53,45,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
53,45,4,27-2032.00,Choreographers
53,45,2,39-1013.00,First-Line Supervisors of Gambling Services Workers
53,45,3,13-1041.04,Government Property Inspectors and Investigators
53,45,5,25-9031.00,Instructional Coordinators
53,43,5,29-1141.04,Clinical Nurse Specialists
53,43,5,25-9021.00,Farm and Home Management Educators
53,43,5,29-1161.00,Nurse Midwives
53,43,5,29-1229.05,Preventive Medicine Physicians
53,43,4,29-1141.00,Registered Nurses
50,54,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
50,52,4,27-2041.00,Music Directors and Composers
50,45,5,19-1021.00,Biochemists and Biophysicists
50,45,5,25-1052.00,"Chemistry Teachers, Postsecondary"
50,45,4,17-2081.00,Environmental Engineers
50,45,5,29-1171.00,Nurse Practitioners
50,45,5,29-1051.00,Pharmacists
50,45,3,33-3051.00,Police and Sheriff's Patrol Officers
50,45,3,17-3024.01,Robotics Technicians
50,45,4,41-9031.00,Sales Engineers
50,45,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
50,45,4,13-1151.00,Training and Development Specialists
50,43,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
50,43,3,53-2021.00,Air Traffic Controllers
50,43,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
50,43,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
50,43,5,19-1029.04,Biologists
50,43,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
50,43,5,29-1213.00,Dermatologists
50,43,5,25-1063.00,"Economics Teachers, Postsecondary"
50,43,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
50,43,5,19-3011.01,Environmental Economists
50,43,5,29-1216.00,General Internal Medicine Physicians
50,43,4,17-1022.01,Geodetic Surveyors
50,43,5,29-1229.02,Hospitalists
50,43,5,25-1022.00,"Mathematical Science Teachers, Postsecondary"
50,43,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
50,43,5,29-1151.00,Nurse Anesthetists
50,43,5,29-1081.00,Podiatrists
50,43,5,29-1223.00,Psychiatrists
50,43,5,29-1224.00,Radiologists
50,43,4,17-2199.08,Robotics Engineers
50,43,4,11-2022.00,Sales Managers
50,43,3,29-9093.00,Surgical Assistants
50,43,5,29-1229.03,Urologists
50,41,4,25-2021.00,"Elementary School Teachers, Except Special Education"
50,41,4,11-9179.01,Fitness and Wellness Coordinators
